time-chf,cachexia
"hb: category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=gram per deciliter, source_data_type=float, target_type=continuous_variable, target_unit=gram per liter, target_data_type=float, transformation_rule=Unit conversion required (RQ dependent)","b_hgb: ('b_hgb', 'category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=gram per deciliter, source_data_type=float, target_type=continuous_variable, target_unit=gram per liter, target_data_type=float, transformation_rule=hb→b_hgb:Unit conversion required (RQ dependent)')"
"crpsensitive: category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=milligram per liter, source_data_type=float, target_type=continuous_variable, target_unit=milligram per liter, target_data_type=float, transformation_rule=For harmonization, no transformation required. | hscrp_bl: category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=milligram per liter, source_data_type=float, target_type=continuous_variable, target_unit=milligram per liter, target_data_type=float, transformation_rule=For harmonization, no transformation required.","b_crp: ('b_crp', 'category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=milligram per liter, source_data_type=float, target_type=continuous_variable, target_unit=milligram per liter, target_data_type=float, transformation_rule=crpsensitive→b_crp:For harmonization, no transformation required.') | b_crp: ('b_crp', 'category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=milligram per liter, source_data_type=float, target_type=continuous_variable, target_unit=milligram per liter, target_data_type=float, transformation_rule=hscrp_bl→b_crp:For harmonization, no transformation required.')"
"age: category=person, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=year, source_data_type=float, target_type=continuous_variable, target_unit=, target_data_type=float, transformation_rule=For harmonization, no transformation required.","age: ('age', 'category=person, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=year, source_data_type=float, target_type=continuous_variable, target_unit=, target_data_type=float, transformation_rule=age→age:For harmonization, no transformation required.')"
"weight: category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=kilogram, source_data_type=int, target_type=continuous_variable, target_unit=kilogram, target_data_type=float, transformation_rule=For harmonization, no transformation required.","weight: ('weight', 'category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=kilogram, source_data_type=int, target_type=continuous_variable, target_unit=kilogram, target_data_type=float, transformation_rule=weight→weight:For harmonization, no transformation required.')"
"height: category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=centimeter, source_data_type=int, target_type=continuous_variable, target_unit=centimeter, target_data_type=float, transformation_rule=For harmonization, no transformation required.","height: ('height', 'category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=centimeter, source_data_type=int, target_type=continuous_variable, target_unit=centimeter, target_data_type=float, transformation_rule=height→height:For harmonization, no transformation required.')"
"bmi: category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=kilogram per square meter, source_data_type=float, target_type=continuous_variable, target_unit=kilogram per square meter, target_data_type=float, transformation_rule=For harmonization, no transformation required.","bmi: ('bmi', 'category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=kilogram per square meter, source_data_type=float, target_type=continuous_variable, target_unit=kilogram per square meter, target_data_type=float, transformation_rule=bmi→bmi:For harmonization, no transformation required.')"
"socialstatus: category=person, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=multi_class_variable, source_unit=, source_data_type=int, target_type=multi_class_variable, target_unit=, target_data_type=int, transformation_rule=For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values","marital_status: ('marital_status', 'category=person, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=multi_class_variable, source_unit=, source_data_type=int, target_type=multi_class_variable, target_unit=, target_data_type=int, transformation_rule=socialstatus→marital_status:For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values')"
"patientid: category=person, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=qualitative_variable, source_unit=, source_data_type=str, target_type=continuous_variable, target_unit=, target_data_type=int, transformation_rule=Transformation rule not defined","patient_id: ('patient_id', 'category=person, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=qualitative_variable, source_unit=, source_data_type=str, target_type=continuous_variable, target_unit=, target_data_type=int, transformation_rule=patientid→patient_id:Transformation rule not defined')"
"gender: category=person, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values","gender: ('gender', 'category=person, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=gender→gender:For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values')"
"nan: category=, mapping_type=, source_visit=, target_visit=, source_type=, source_unit=, source_data_type=, target_type=, target_unit=, target_data_type=, transformation_rule=Transformation Not applicable (invalid statistical type)","nan: ('nan', 'category=, mapping_type=, source_visit=, target_visit=, source_type=, source_unit=, source_data_type=, target_type=, target_unit=, target_data_type=, transformation_rule=nan→nan:Transformation Not applicable (invalid statistical type)')"
"edema_01: category=observation|condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values | edemahistory_01: category=observation|condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=str, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values","oedema: ('oedema', 'category=observation|condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=str, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=edemahistory_01→oedema:For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values') | oedema: ('oedema', 'category=observation|condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=edema_01→oedema:For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values')"
"charlsonscore: category=observation|measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=, source_data_type=int, target_type=continuous_variable, target_unit=, target_data_type=int, transformation_rule=For harmonization, no transformation required.","cci: ('cci', 'category=observation|measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=, source_data_type=int, target_type=continuous_variable, target_unit=, target_data_type=int, transformation_rule=charlsonscore→cci:For harmonization, no transformation required.')"
"nbnp: category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=picogram per milliliter, source_data_type=float, target_type=continuous_variable, target_unit=nanogram per liter, target_data_type=float, transformation_rule=Unit conversion required (RQ dependent)","b_bnp: ('b_bnp', 'category=measurement, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=continuous_variable, source_unit=picogram per milliliter, source_data_type=float, target_type=continuous_variable, target_unit=nanogram per liter, target_data_type=float, transformation_rule=nbnp→b_bnp:Unit conversion required (RQ dependent)')"
"jugularvein: category=condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=multi_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question | jugularvein_01: category=condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values","oedema: ('oedema', 'category=condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=multi_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=jugularvein→oedema:For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question') | oedema: ('oedema', 'category=condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=jugularvein_01→oedema:For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values')"
"majorbleedings: category=condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values","oedema: ('oedema', 'category=condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=majorbleedings→oedema:For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values')"
"ulcer: category=condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values","oedema: ('oedema', 'category=condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=ulcer→oedema:For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values')"
"psychiatrischeerkrankungen: category=condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values","oedema: ('oedema', 'category=condition_occurrence, mapping_type=, source_visit=baseline time, target_visit=baseline time, source_type=binary_class_variable, source_unit=, source_data_type=int, target_type=binary_class_variable, target_unit=, target_data_type=int, transformation_rule=psychiatrischeerkrankungen→oedema:For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values')"
